"		지점번호",지점명,일시,평균기온(℃),평균최고기온(℃),최고기온(℃),"	최고기온일자",평균최저기온(℃),최저기온(℃),최저기온일자
"		108",서울,1970-01-01,-4.8,0,8.9,1970-01-28,-8.8,-20.2,1970-01-05
"		108",서울,1970-02-01,-0.2,4.7,12,1970-02-19,-3.9,-10.8,1970-02-10
"		108",서울,1970-03-01,0.4,4.8,16,1970-03-29,-3.2,-7.3,1970-03-01
"		108",서울,1970-04-01,12.2,18.3,26,1970-04-30,7.1,0.8,1970-04-08
"		108",서울,1970-05-01,18.7,24.6,29.8,1970-05-24,13.8,10,1970-05-13
"		108",서울,1970-06-01,20.5,25.1,30,1970-06-07,16.9,13.4,1970-06-17
"		108",서울,1970-07-01,23,26.5,32.2,1970-07-21,20.5,15.2,1970-07-09
"		108",서울,1970-08-01,25.9,29.9,35,1970-08-12,22.9,20.1,1970-08-19
"		108",서울,1970-09-01,21.2,26,31.2,1970-09-07,17.5,7.9,1970-09-30
"		108",서울,1970-10-01,14.9,20.4,25.6,1970-10-07,10.2,0.5,1970-10-30
"		108",서울,1970-11-01,5.7,10.4,18.2,1970-11-09,1.4,-11.9,1970-11-30
"		108",서울,1970-12-01,-1,2.9,11.6,1970-12-17,-4.6,-11.2,1970-12-27
"		108",서울,1971-01-01,-2.4,1.7,9.2,1971-01-18,-5.7,-16.1,1971-01-05
"		108",서울,1971-02-01,-0.7,3.5,13.2,1971-02-22,-4.2,-12.4,1971-02-01
"		108",서울,1971-03-01,2,6.6,20.2,1971-03-28,-1.5,-11.6,1971-03-07
"		108",서울,1971-04-01,11.2,17,24.1,1971-04-27,6.5,0.6,1971-04-04
"		108",서울,1971-05-01,16.6,22.1,31.2,1971-05-23,12,7,1971-05-04
"		108",서울,1971-06-01,21.6,26,30.4,1971-06-08,18.2,13,1971-06-04
"		108",서울,1971-07-01,23.9,27.3,32,1971-07-31,21.3,18.6,1971-07-08
"		108",서울,1971-08-01,24.6,28.6,33.2,1971-08-03,21.5,15.9,1971-08-19
"		108",서울,1971-09-01,20.6,25.2,29.6,1971-09-06,16.8,9.7,1971-09-28
"		108",서울,1971-10-01,13,18.7,24.1,1971-10-09,8,2.5,1971-10-12
"		108",서울,1971-11-01,8.7,13.4,21.3,1971-11-02,4.8,-8.8,1971-11-29
"		108",서울,1971-12-01,-1.2,2.8,11.5,1971-12-02,-4.7,-10,1971-12-22
"		108",서울,1972-01-01,0.8,4.5,13,1972-01-11,-2.1,-9.1,1972-01-27
"		108",서울,1972-02-01,-0.6,3,8.4,1972-02-10,-3.5,-9.6,1972-02-20
"		108",서울,1972-03-01,5.3,10.3,18,1972-03-28,1.4,-7.7,1972-03-01
"		108",서울,1972-04-01,11.5,16.7,23.5,1972-04-24,6.9,-4.3,1972-04-01
"		108",서울,1972-05-01,16.4,21.3,26.2,1972-05-23,11.7,6.4,1972-05-15
"		108",서울,1972-06-01,21.7,27.4,30.7,1972-06-06,17.2,13.7,1972-06-13
"		108",서울,1972-07-01,25.7,30,35.6,1972-07-20,22.1,17.5,1972-07-01
"		108",서울,1972-08-01,23.1,27.1,32.1,1972-08-17,19.7,15.8,1972-08-30
"		108",서울,1972-09-01,19,24,27.2,1972-09-12,14.8,9.5,1972-09-30
"		108",서울,1972-10-01,13.8,19.2,26,1972-10-09,9.1,0.5,1972-10-31
"		108",서울,1972-11-01,5.2,9.3,18.7,1972-11-04,1.6,-8.1,1972-11-28
"		108",서울,1972-12-01,0.6,4.7,12,1972-12-05,-2.9,-12,1972-12-13
"		108",서울,1973-01-01,0.4,4.2,11.3,1973-01-22,-2.5,-11.3,1973-01-03
"		108",서울,1973-02-01,0.6,5.2,14.4,1973-02-16,-3.2,-9.4,1973-02-25
"		108",서울,1973-03-01,4.5,10,20.8,1973-03-30,0.4,-5.3,1973-03-02
"		108",서울,1973-04-01,12.4,17.6,27.7,1973-04-30,8,0.9,1973-04-05
"		108",서울,1973-05-01,17.4,22.9,27.8,1973-05-14,12.8,9.5,1973-05-10
"		108",서울,1973-06-01,21.4,26.1,30.8,1973-06-10,17.8,12.9,1973-06-03
"		108",서울,1973-07-01,26.8,31.2,34.5,1973-07-18,23.6,19.7,1973-07-02
"		108",서울,1973-08-01,25.9,29.8,35.2,1973-08-16,23,21.2,1973-08-31
"		108",서울,1973-09-01,20.3,25,28.6,1973-09-07,16.5,8.3,1973-09-27
"		108",서울,1973-10-01,13,18.1,24.9,1973-10-11,8.7,2.2,1973-10-26
"		108",서울,1973-11-01,4.7,9.3,16.9,1973-11-01,0.8,-7.1,1973-11-20
"		108",서울,1973-12-01,-3,1.7,10.8,1973-12-02,-7,-17.4,1973-12-24
"		108",서울,1974-01-01,-2.4,2.5,9.3,1974-01-02,-6.3,-15.5,1974-01-24
"		108",서울,1974-02-01,-2.1,1.9,9.9,1974-02-18,-5.5,-14,1974-02-26
"		108",서울,1974-03-01,3.7,8.9,19.5,1974-03-30,-0.1,-8,1974-03-12
"		108",서울,1974-04-01,10.7,15.8,23.1,1974-04-06,6.2,0.8,1974-04-02
"		108",서울,1974-05-01,16.7,22.1,29.3,1974-05-17,12.1,7,1974-05-01
"		108",서울,1974-06-01,19.7,25.1,31.1,1974-06-26,15.5,9.7,1974-06-05
"		108",서울,1974-07-01,23.5,27.2,30.7,1974-07-22,20.9,18.2,1974-07-01
"		108",서울,1974-08-01,25.1,29.4,33.9,1974-08-19,21.8,15.7,1974-08-25
"		108",서울,1974-09-01,20.6,25.8,29.9,1974-09-01,16.5,11.2,1974-09-19
"		108",서울,1974-10-01,12.6,17.9,23.2,1974-10-06,7.8,0,1974-10-31
"		108",서울,1974-11-01,5.4,10.5,20.3,1974-11-06,1.3,-4.8,1974-11-13
"		108",서울,1974-12-01,-0.5,3.7,10.3,1974-12-01,-4.1,-10.2,1974-12-04
"		108",서울,1975-01-01,-2.7,1.8,7,1975-01-07,-6.3,-11.8,1975-01-18
"		108",서울,1975-02-01,-0.8,4,10.6,1975-02-03,-4.5,-9.7,1975-02-08
"		108",서울,1975-03-01,4.4,9.7,15.8,1975-03-18,0.5,-5,1975-03-01
"		108",서울,1975-04-01,13.3,19.3,29,1975-04-30,8.4,1.2,1975-04-03
"		108",서울,1975-05-01,16.7,22.2,27.7,1975-05-01,12.3,7.8,1975-05-07
"		108",서울,1975-06-01,21.4,26.7,32.4,1975-06-20,17.5,13.2,1975-06-01
"		108",서울,1975-07-01,24.9,28.8,33.4,1975-07-30,22,18.4,1975-07-12
"		108",서울,1975-08-01,27,31.9,35.3,1975-08-18,23.4,20.4,1975-08-11
"		108",서울,1975-09-01,22.6,27.1,31.5,1975-09-05,19,13.6,1975-09-24
"		108",서울,1975-10-01,15.4,20.6,25.6,1975-10-06,11.2,5.4,1975-10-30
"		108",서울,1975-11-01,9,13.8,20.7,1975-11-05,5.2,-6.4,1975-11-23
"		108",서울,1975-12-01,-1.6,2.8,14.8,1975-12-04,-5,-10.8,1975-12-24
